start	end	text
0.000	8.320	Наверное, пошерить, у меня есть маленькая преза, буквально там на пару слайдов. Вот, скажите, видно ли вам?
8.320	10.380	Все видно.
10.380	19.540	В общем, здесь супер кратко о том, что, значит, примерно около, там, наверное, шести месяцев, может, даже чуть больше, я занималась настройкой.
19.540	34.740	Тестировала просто GPT-бота, да, который бы был настроен под наши форматы, но понятно, что ChatGPT — это такая штучка, которая больше генерирует много разного, возможно, даже креативного,
34.740	45.540	но она не снижает рутину, поскольку за ней нужно перепроверять количество символов, не добавила ли она про алкоголь в SMS-ку, правильно ли она вообще нашла источник или она его придумала.
45.540	47.540	В общем, тут очень много есть.
47.540	49.540	Ну, и помимо этого, openAI еще есть.
49.540	56.540	Есть как бы вопросики по безопасности, антропик в этом плане, он более, ну, больше подходит в том числе и компаниям.
56.540	66.640	И кроме этого, стало понятно, что нам нужна не столько, ну, типа, какая-то нейронка, сколько именно вот эта мультиагентная система.
66.640	71.640	Наверное, вы слышали, что сейчас в целом мир сходит с ума по агентам.
71.640	72.640	Ага.
72.640	79.640	На самом деле это действительно работает, поскольку это помогает как раз-таки разложить саму задачу.
79.640	88.640	На некоторое количество маленьких подзадач, ну, в общем, декомпозировать ее, а значит, получить более контролируемый и более, ну, работающий результат.
88.640	103.640	Сейчас, значит, есть там 10 плюс форматов, ну, по которым, на которых эта система настроена, да, это там SEO-статьи, значит, учитываются ключевые слова, это баннеры, а значит, учитывается то, что это не пуш, а это именно баннер и количество символов.
103.640	108.640	Да, там, SMS учитывается количество символов и то, что алкоголь нельзя использовать.
108.640	111.640	Тот факт, что нельзя в целом говорить о том, что алкоголь – это приятно.
111.640	114.640	В общем, под эти все штуки система настроена.
114.640	117.640	Здесь я добавила цифры по ускорению.
117.640	125.640	Я бы, конечно, ну, могу сказать, что, например, загрузить бриф и получить статью через эту систему – это, типа, 15 минут.
125.640	135.640	Это не одна минута, как в чате GPT, но это, типа, система, где я согласую структуру, где я, значит, ну, там, еще валидирую какие-то шаги, и только после этого происходит написание.
135.640	137.640	Но даже с учетом этого я бы не стала говорить, что статья неприятная.
138.640	150.640	Статья пишется за 15 минут, потому что все-таки мы хотим сохранить тот уровень контента, который есть сейчас, а не просто, типа, вот, ну, некоторые блоги сейчас, в том числе, винные, используют нейроконтент, и это видно.
